ID	name	species	sex	cc	cp	maT	apodeme	sp.number	sex.number	csize	sqapodeme	center.cc	center.csize	pc1	pc2
111	FABTAO32	abtao	female	13.12	7.236	0.369893538	0.5	1	1	168.654188486731	0.707106781186548	-2.04255813953488	-12.5865939851503	-0.0347453257024577	0.0393776472277738
112	FABTAO33	abtao	female	14.28	7.608	0.370430356	0.57	1	1	167.580007230962	0.754983443527075	-0.882558139534884	-13.6607752409185	-0.054974311755923	0.0393609862855253
113	FABTAO34	abtao	female	14.58	7.867	0.368092692	0.37	1	1	182.771795996441	0.608276253029822	-0.582558139534884	1.53101352456031	-0.0498712301585922	0.0271487769622206
114	FABTAO35	abtao	female	14.79	7.754	0.346482577	0.5	1	1	175.429556836255	0.707106781186548	-0.372558139534885	-5.81122563562619	-0.0616367620779871	0.048294853132553
115	FABTAO36	abtao	female	17.68	10.104	0.34268358	0.78	1	1	211.65454651111	0.883176086632785	2.51744186046512	30.4137640392289	-0.0644940492074327	0.0260424053492148
116	FABTAO37	abtao	female	18.18	9.745	0.299912816	0.81	1	1	214.629365898244	0.9	3.01744186046512	33.3885834263633	-0.0387997135531501	0.0244456403167988
117	FABTAO38	abtao	female	15.05	8.34	0.304684318	0.59	1	1	153.438242031272	0.768114574786861	-0.112558139534883	-27.8025404406093	-0.0219499934825638	0.0230443094376088
118	FABTAO39	abtao	female	13.38	7.307	0.310311519	0.35	1	1	166.979040600909	0.591607978309962	-1.78255813953488	-14.2617418709719	-0.0412141147927729	0.0366565455706575
119	FABTAO4	abtao	female	14.43	7.297	0.344810379	0.46	1	1	166.563536720093	0.678232998312527	-0.732558139534884	-14.6772457517875	-0.0612754767026264	0.0120062921494808
120	FABTAO40	abtao	female	15.25	8.204	0.377949283	0.48	1	1	197.282419239973	0.692820323027551	0.0874418604651162	16.0416367680921	-0.0378236848254616	0.0220906966320577
121	FABTAO41	abtao	female	16.96	9.259	0.322027214	0.55	1	1	207.273902332723	0.741619848709566	1.79744186046512	26.0331198608424	-0.0386741084082137	0.012706694218733
122	FABTAO42	abtao	female	13.67	7.149	0.336757705	0.35	1	1	161.681604323035	0.591607978309962	-1.49255813953488	-19.5591781488454	-0.0534015059653302	0.0324288986270982
123	FABTAO43	abtao	female	17.69	9.322	0.376286765	0.78	1	1	208.53607390005	0.883176086632785	2.52744186046512	27.295291428169	-0.0407556200577717	0.0213004871094477
124	FABTAO44	abtao	female	15.55	8.423	0.364087525	0.64	1	1	184.403011331798	0.8	0.387441860465117	3.16222885991732	-0.0155453327745529	0.0042706583068537
125	FABTAO45	abtao	female	13.8	7.151	0.37283237	0.46	1	1	156.261846609729	0.678232998312527	-1.36255813953488	-24.9789358621522	-0.0365351775393432	0.0201483955576572
126	FABTAO5	abtao	female	16.91	9.013	0.323772028	0.57	1	1	206.14072862974	0.754983443527075	1.74744186046512	24.8999461578589	-0.0693251695063635	0.0192502645587069
127	FABTAO7	abtao	female	13.83	7.348	0.340903419	0.38	1	1	165.438810440598	0.616441400296898	-1.33255813953488	-15.8019720312832	-0.0660650636658149	0.0363791973253736
128	FABTAO8	abtao	female	13.42	7.624	0.344605475	0.37	1	1	167.071312706316	0.608276253029822	-1.74255813953488	-14.1694697655645	-0.0447115616273171	0.0154631634676244
129	FABTAO9	abtao	female	14.61	8.026	0.361150401	0.58	1	1	172.710911130506	0.761577310586391	-0.552558139534884	-8.52987134137524	-0.0346931396193571	0.0209197080571919
170	LF10	longirostri	female	19.51	11.46	0.705263158	1.76	2	1	265.439258588476	1.32664991614216	1.30622222222222	23.441614178877	-0.017760753389304	-0.0292567986295778
171	LF11	longirostri	female	18.7	11.11	0.680412371	1.3	2	1	237.405584948429	1.14017542509914	0.496222222222222	-4.59205946116998	-0.0279465717990149	-0.0199260583276405
172	LF13	longirostri	female	17.08	10.61	0.74368231	1.51	2	1	236.947251513918	1.22882057274445	-1.12377777777778	-5.05039289568109	-0.025062378900542	-0.0195273530086902
173	LF14	longirostri	female	16.09	9.17	0.690909091	0.88	2	1	199.110965219368	0.938083151964686	-2.11377777777778	-42.8866791902316	-0.0293869874931766	-0.0331684048068721
174	LF15	longirostri	female	16.44	9.56	0.756756757	1.17	2	1	206.354349716837	1.0816653826392	-1.76377777777778	-35.6432946927619	-0.0162432476939574	-0.0342281958270978
175	LF16	longirostri	female	15	8.35	0.66	0.77	2	1	175.296723233695	0.877496438739212	-3.20377777777778	-66.7009211759045	-0.0379552759273402	-0.028240214110175
176	LF17	longirostri	female	17.47	9.49	0.688461538	1.12	2	1	205.724544562126	1.05830052442584	-0.733777777777778	-36.2730998474734	-0.0316290335725931	-0.0300603627695817
177	LF18	longirostri	female	19.51	10.98	0.686006826	1.72	2	1	248.656152855587	1.3114877048604	1.30622222222222	6.65850844598799	-0.023772996254665	0.00792183650908066
178	LF19	longirostri	female	18.77	10.18	0.651340996	1.38	2	1	227.438679518626	1.17473401244707	0.566222222222223	-14.5589648909728	-0.0362575908981161	-0.0219119947152937
179	LF2	longirostri	female	17.62	9.91	0.676348548	1.07	2	1	223.486017459706	1.03440804327886	-0.583777777777776	-18.5116269498933	-0.0545427141547977	-0.0308942437681265
180	LF20	longirostri	female	18.25	10.15	0.6796875	1.15	2	1	218.559993109982	1.07238052947636	0.0462222222222231	-23.4376512996175	-0.0621490761466348	-0.0169206088637322
181	LF21	longirostri	female	22.65	13.01	0.679878049	2.03	2	1	287.881307241063	1.4247806848775	4.44622222222222	45.8836628314641	-0.00900945356794156	-0.0434806019258241
182	LF22	longirostri	female	24.73	14.67	0.72	2.84	2	1	318.248885215921	1.68522995463527	6.52622222222222	76.2512408063217	-0.0157918269316821	-0.0367418154647854
183	LF23	longirostri	female	20.62	12.411	0.935957305	1.55	2	1	282.794666727313	1.24498995979887	2.41622222222222	40.7970223177132	-0.0105236338641705	-0.0280871562193929
184	LF24	longirostri	female	15.91	9.571	0.902960526	1.18	2	1	211.309363396002	1.08627804912002	-2.29377777777778	-30.6882810135975	-0.00785291974579398	-0.0244511325200314
185	LF25	longirostri	female	20.41	11.974	0.895833333	1.71	2	1	265.925686213715	1.3076696830622	2.20622222222222	23.9280418041159	-0.0119202919389397	-0.0381113253917458
186	LF26	longirostri	female	18.5	11.983	0.938247656	1.65	2	1	244.447275681762	1.28452325786651	0.296222222222223	2.44963127216261	0.00103316559049864	-0.0253851116255805
187	LF27	longirostri	female	15	10.578	0.788602941	0.96	2	1	218.582599813381	0.979795897113271	-3.20377777777778	-23.4150445962187	-0.0537323442359946	-0.0430563166963122
188	LF28	longirostri	female	18.26	10.943	0.938733833	1.3	2	1	250.146074971264	1.14017542509914	0.0562222222222246	8.14843056166509	0.0258993230816555	-0.0239883394536057
189	LF29	longirostri	female	18.45	12.214	0.871873929	1.93	2	1	267.014650402205	1.38924439894498	0.246222222222222	25.0170059926057	0.0142541224200109	-0.045919547093287
190	LF3	longirostri	female	17.46	9.63	0.675105485	1.22	2	1	218.982943198243	1.10453610171873	-0.743777777777776	-23.0147012113568	-0.0366017408049357	-0.0506815634944612
191	LF30	longirostri	female	17.42	9.144	0.779824194	1.09	2	1	200.47795830142	1.04403065089106	-0.783777777777775	-41.5196861081793	-0.0407100916490429	-0.000751793926355351
192	LF31	longirostri	female	18.24	11.82	0.95998632	1.83	2	1	267.437953221919	1.35277492584687	0.0362222222222215	25.4403088123199	0.019344778446422	-0.036552423538966
193	LF32	longirostri	female	19.26	11.431	0.999	1.4	2	1	250.110563786592	1.18321595661992	1.05622222222222	8.11291937699303	-0.00852094241228841	-0.0456469818105999
194	LF33	longirostri	female	17.13	10.858	0.864319765	1.44	2	1	245.157332435844	1.2	-1.07377777777778	3.15968802624451	-0.0041020115460532	-0.0432266630320424
195	LF34	longirostri	female	16.44	13.584	0.911201757	2.09	2	1	292.141182629624	1.4456832294801	-1.76377777777778	50.1435382200247	-0.00776021621623268	-0.0501501880256022
196	LF35	longirostri	female	18.06	10.82	0.936725096	0.82	2	1	227.745471963769	0.905538513813742	-0.143777777777778	-14.25217244583	-0.0370471565099201	-0.0397442259032691
197	LF36	longirostri	female	19.18	9.784	0.858645351	0.85	2	1	221.131847814029	0.921954445729289	0.976222222222223	-20.8657965955699	-0.0508897985836387	-0.0139340178027441
198	LF37	longirostri	female	18.71	12.129	0.802485724	2.03	2	1	272.556955731544	1.4247806848775	0.506222222222224	30.5593113219451	-0.00294309273710039	-0.0528814827259225
199	LF38	longirostri	female	17.8	11.352	0.883801462	2.09	2	1	251.813656593638	1.4456832294801	-0.403777777777776	9.81601218403907	0.0139146667494286	-0.0637410141308018
200	LF39	longirostri	female	16.28	10.044	0.925135764	0.88	2	1	217.608390841681	0.938083151964686	-1.92377777777778	-24.3892535679181	-0.018118582773668	-0.0186746985332251
201	LF4	longirostri	female	18.73	11.02	0.711340206	1.18	2	1	245.27655459765	1.08627804912002	0.526222222222223	3.27891018805101	-0.0511039288943465	-0.0215126583261502
202	LF40	longirostri	female	18.01	10.829	0.887831946	1.53	2	1	250.20180090573	1.2369316876853	-0.193777777777775	8.20415649613079	-0.0174562914298507	-0.0415372444342627
203	LF41	longirostri	female	17.21	11.325	0.955830389	1.6	2	1	254.27150843144	1.26491106406735	-0.993777777777776	12.273864021841	-0.00597718322779878	-0.0180317204908767
204	LF42	longirostri	female	19.7	12.837	0.909425134	1.64	2	1	281.396726432734	1.28062484748657	1.49622222222222	39.3990820231345	0.0214237893740746	-0.0267196653633011
205	LF43	longirostri	female	17.83	11.601	0.795509499	0.98	2	1	254.013663365715	0.989949493661167	-0.373777777777779	12.0160189561153	-0.0275514455970751	-0.0538990960617176
206	LF44	longirostri	female	16.7	11.162	0.880829016	1.15	2	1	226.409051991146	1.07238052947636	-1.50377777777778	-15.5885924184534	-0.0250037962028097	-0.0468627342318803
207	LF45	longirostri	female	18.17	9.707	0.824013871	0.73	2	1	214.786076884721	0.854400374531753	-0.0337777777777752	-27.211567524878	-0.0575545672663191	-0.028651919478756
208	LF46	longirostri	female	17.68	10.834	0.792605634	1.32	2	1	242.409716365156	1.14891252930761	-0.523777777777777	0.412071955556542	-0.0130100468083498	-0.0419156186611539
209	LF47	longirostri	female	18.65	12.515	0.845763723	1.64	2	1	272.995798286994	1.28062484748657	0.446222222222222	30.9981538773944	0.016749671741748	-0.0288553587275071
210	LF5	longirostri	female	19.1	10.87	0.719723183	1.44	2	1	253.022435647862	1.2	0.896222222222224	11.0247912382627	-0.033362438856576	-0.0253231993656787
211	LF6	longirostri	female	19.08	10.54	0.764044944	1.25	2	1	248.285414510848	1.11803398874989	0.876222222222221	6.28777010124855	-0.018519658549138	-0.0242625326235297
212	LF7	longirostri	female	18.5	10.32	0.643122677	1.03	2	1	222.316414678031	1.01488915650922	0.296222222222223	-19.6812297315685	-0.0399138086191404	-0.0180000293419232
213	LF8	longirostri	female	17.57	10.08	0.703703704	1.24	2	1	236.402199651357	1.113552872566	-0.633777777777777	-5.59544475824239	-0.0178040185257784	-0.0192391568650622
214	LF9	longirostri	female	17.29	10.08	0.656126482	1.13	2	1	232.172349774903	1.06301458127346	-0.913777777777778	-9.82529463469606	-0.0281786187152582	-0.0262074230934155
215	MG1	longirostri	male	24.64	16.47	0.834841629	3.09	2	2	444.717623561156	1.75783958312469	2.63854166666667	0.22404832952509	-0.00265675856104261	-0.0277640700746812
216	MG12	longirostri	male	26.44	19.91	0.895437262	7.58	2	2	628.265305518017	2.75317997958724	4.43854166666667	183.771730286386	0.037912166901609	-0.0411512628926905
217	MG14	longirostri	male	26.19	21.16	0.859744991	6.96	2	2	614.297781784927	2.63818119165458	4.18854166666667	169.804206553296	0.0122227587969653	-0.034378152245704
218	MG15	longirostri	male	26.06	20.96	0.838899804	8.07	2	2	610.983873860552	2.84077454226836	4.05854166666667	166.490298628921	0.0424602525398956	-0.0510241728103019
219	MG16	longirostri	male	25.65	22.51	0.84501845	7.74	2	2	652.726138410824	2.78208554864871	3.64854166666667	208.232563179192	0.0320982204162202	-0.0310489708965652
220	MG17	longirostri	male	24.37	18.9	0.833679834	6.83	2	2	581.845643569819	2.6134268690744	2.36854166666667	137.352068338187	0.0200302252736027	-0.0438703196240516
221	MG18	longirostri	male	22.44	18.6	0.879828326	5.87	2	2	551.394808911108	2.42280828791714	0.438541666666669	106.901233679477	0.0306837625883629	-0.0290430764244686
222	MG19	longirostri	male	22.6	19.08	0.802020202	5.57	2	2	544.641058269519	2.36008474424119	0.598541666666669	100.147483037887	0.0133479411233413	-0.0234803866021757
223	MG2	longirostri	male	25.53	23.08	0.959409594	7.89	2	2	609.086876832371	2.80891438103763	3.52854166666667	164.59330160074	0.0351784221172466	-0.0430554137339963
224	MG20	longirostri	male	25.91	19.84	0.819767442	6.43	2	2	580.775343829264	2.53574446662119	3.90854166666667	136.281768597633	0.0329624139528423	-0.0282226254427289
225	MG21	longirostri	male	22.36	18.308	0.928527164	5.24	2	2	419.34921569723	2.28910462845192	0.358541666666667	-25.1443595344008	0.0667524019166879	-0.0200189134983209
226	MG22	longirostri	male	18.83	15.957	0.908113392	2.95	2	2	354.075764574227	1.71755640373177	-3.17145833333333	-90.4178106574041	-0.00303041529166897	-0.0379879005980697
227	MG23	longirostri	male	20.08	16.147	0.875884956	4.19	2	2	385.164899750743	2.04694894904587	-1.92145833333333	-59.3286754808881	0.0392658316411977	-0.0172202418129923
228	MG24	longirostri	male	18.75	16.621	0.823824302	3.34	2	2	366.568988772116	1.82756668824971	-3.25145833333333	-77.9245864595152	0.00897850928374411	-0.0446183937668518
229	MG25	longirostri	male	20.89	16.098	0.7860949	2.52	2	2	359.106571106357	1.58745078663875	-1.11145833333333	-85.3870041252747	-0.00565203257615742	-0.0126978817290637
230	MG26	longirostri	male	22.07	18.671	0.999	6.35	2	2	432.166498415762	2.51992063367083	0.0685416666666683	-12.3270768158688	0.0590541769574888	-0.024013309947621
231	MG27	longirostri	male	21.09	17.502	0.904815482	3.76	2	2	385.867090802916	1.93907194296653	-0.911458333333332	-58.6264844287152	0.0181381153847603	-0.0368439699648413
232	MG28	longirostri	male	22.65	18.742	0.87609957	5.04	2	2	434.610170152517	2.24499443206436	0.648541666666667	-9.88340507911403	0.0298118985561063	-0.00177798747785692
233	MG29	longirostri	male	18.25	13.098	0.920367534	2.21	2	2	299.323747608426	1.48660687473185	-3.75145833333333	-145.169827623205	-0.00757793108482902	-0.0185350003842109
234	MG3	longirostri	male	28.34	24.46	0.851851852	9.26	2	2	671.231002579238	3.04302481094059	6.33854166666667	226.737427347607	0.0261364231075295	-0.0429375340202054
235	MG30	longirostri	male	19.75	14.621	0.907256004	2.37	2	2	305.042523554456	1.53948043183407	-2.25145833333333	-139.451051677176	0.0131464482396595	0.00406903701803624
236	MG31	longirostri	male	20.65	17.699	0.951153324	5.05	2	2	408.637621716788	2.24722050542442	-1.35145833333333	-35.855953514843	0.0255963595071177	-0.00742551982682567
237	MG32	longirostri	male	23.17	19.81	0.951751251	5.38	2	2	451.434966979481	2.31948270094864	1.16854166666667	6.94139174784931	0.0317939611274745	-0.0247322539454121
238	MG33	longirostri	male	20.65	15.867	0.877052818	3.55	2	2	344.777336500974	1.88414436814168	-1.35145833333333	-99.7162387306573	0.0225651067882086	-0.0396732952922733
239	MG34	longirostri	male	22.4	18.834	0.90354368	6.41	2	2	423.412328587631	2.53179778023443	0.398541666666667	-21.0812466440003	0.050319616438822	-0.0386001335702
240	MG36	longirostri	male	22.74	20.53	0.933894804	6.86	2	2	495.149294182484	2.61916017074176	0.738541666666666	50.6557189508524	0.0724734790953094	-0.0294084856343021
241	MG37	longirostri	male	22.09	20.157	0.797442167	6.57	2	2	458.977636261545	2.56320112359526	0.0885416666666679	14.484061029914	0.0541754507300805	-0.0376415484018285
242	MG38	longirostri	male	20.57	19.533	0.883314753	6.53	2	2	451.123303869483	2.55538646783613	-1.43145833333333	6.62972863785149	0.0497555392091511	-0.029680587731948
243	MG39	longirostri	male	21.85	17.018	0.871395001	3.97	2	2	380.144554548584	1.99248588451713	-0.151458333333331	-64.3490206830475	0.0112027094064827	-0.0166266435771166
